
 gen_loss = 2.410, dis_loss = 1.049, gen_acc = 0.594, dis_acc = 0.359
 gen_loss = 0.811, dis_loss = 0.722, gen_acc = 0.766, dis_acc = 0.508
 gen_loss = 1.065, dis_loss = 0.485, gen_acc = 0.672, dis_acc = 0.797
 gen_loss = 0.645, dis_loss = 0.362, gen_acc = 0.797, dis_acc = 0.842
 gen_loss = 0.904, dis_loss = 0.421, gen_acc = 0.625, dis_acc = 0.828
 gen_loss = 0.706, dis_loss = 0.333, gen_acc = 0.844, dis_acc = 0.875
 gen_loss = 0.437, dis_loss = 0.332, gen_acc = 0.844, dis_acc = 0.859
 gen_loss = 0.193, dis_loss = 0.218, gen_acc = 0.922, dis_acc = 0.897
 gen_loss = 0.369, dis_loss = 0.337, gen_acc = 0.906, dis_acc = 0.891
 gen_loss = 0.253, dis_loss = 0.346, gen_acc = 0.828, dis_acc = 0.891
 gen_loss = 0.457, dis_loss = 0.279, gen_acc = 0.828, dis_acc = 0.898
 gen_loss = 0.416, dis_loss = 0.269, gen_acc = 0.797, dis_acc = 0.897
 gen_loss = 0.902, dis_loss = 0.270, gen_acc = 0.609, dis_acc = 0.914
 gen_loss = 0.337, dis_loss = 0.240, gen_acc = 0.875, dis_acc = 0.898
 gen_loss = 0.249, dis_loss = 0.221, gen_acc = 0.938, dis_acc = 0.898
 gen_loss = 0.318, dis_loss = 0.228, gen_acc = 0.891, dis_acc = 0.920
 gen_loss = 0.103, dis_loss = 0.219, gen_acc = 0.938, dis_acc = 0.930
 gen_loss = 0.193, dis_loss = 0.252, gen_acc = 0.906, dis_acc = 0.930
 gen_loss = 0.295, dis_loss = 0.203, gen_acc = 0.875, dis_acc = 0.930
 gen_loss = 0.133, dis_loss = 0.128, gen_acc = 0.953, dis_acc = 0.977
 gen_loss = 0.133, dis_loss = 0.188, gen_acc = 0.922, dis_acc = 0.922
 gen_loss = 0.382, dis_loss = 0.180, gen_acc = 0.844, dis_acc = 0.945
 gen_loss = 0.245, dis_loss = 0.166, gen_acc = 0.906, dis_acc = 0.953
 gen_loss = 0.184, dis_loss = 0.073, gen_acc = 0.938, dis_acc = 0.992
 gen_loss = 0.402, dis_loss = 0.203, gen_acc = 0.844, dis_acc = 0.914
 gen_loss = 0.294, dis_loss = 0.170, gen_acc = 0.875, dis_acc = 0.930
 gen_loss = 0.116, dis_loss = 0.204, gen_acc = 0.969, dis_acc = 0.906
 gen_loss = 0.202, dis_loss = 0.116, gen_acc = 0.922, dis_acc = 0.960
 gen_loss = 0.482, dis_loss = 0.152, gen_acc = 0.797, dis_acc = 0.938
 gen_loss = 0.460, dis_loss = 0.145, gen_acc = 0.844, dis_acc = 0.930
 gen_loss = 0.348, dis_loss = 0.162, gen_acc = 0.906, dis_acc = 0.922
 gen_loss = 0.315, dis_loss = 0.099, gen_acc = 0.891, dis_acc = 0.960
 gen_loss = 0.466, dis_loss = 0.164, gen_acc = 0.844, dis_acc = 0.945
 gen_loss = 0.596, dis_loss = 0.136, gen_acc = 0.797, dis_acc = 0.961
 gen_loss = 0.133, dis_loss = 0.138, gen_acc = 0.969, dis_acc = 0.945
 gen_loss = 0.264, dis_loss = 0.152, gen_acc = 0.891, dis_acc = 0.928
 gen_loss = 0.139, dis_loss = 0.190, gen_acc = 0.906, dis_acc = 0.906
 gen_loss = 0.235, dis_loss = 0.143, gen_acc = 0.922, dis_acc = 0.945
 gen_loss = 0.167, dis_loss = 0.085, gen_acc = 0.938, dis_acc = 0.984
 gen_loss = 0.165, dis_loss = 0.090, gen_acc = 0.953, dis_acc = 0.952
 gen_loss = 0.416, dis_loss = 0.127, gen_acc = 0.828, dis_acc = 0.930
 gen_loss = 0.439, dis_loss = 0.149, gen_acc = 0.828, dis_acc = 0.906
 gen_loss = 0.379, dis_loss = 0.148, gen_acc = 0.828, dis_acc = 0.938
 gen_loss = 0.252, dis_loss = 0.083, gen_acc = 0.891, dis_acc = 0.968
 gen_loss = 0.251, dis_loss = 0.111, gen_acc = 0.859, dis_acc = 0.953
 gen_loss = 0.123, dis_loss = 0.125, gen_acc = 0.953, dis_acc = 0.961
 gen_loss = 0.156, dis_loss = 0.151, gen_acc = 0.922, dis_acc = 0.961
 gen_loss = 0.167, dis_loss = 0.225, gen_acc = 0.938, dis_acc = 0.945
 gen_loss = 0.169, dis_loss = 0.140, gen_acc = 0.922, dis_acc = 0.953
 gen_loss = 0.241, dis_loss = 0.136, gen_acc = 0.906, dis_acc = 0.938
 gen_loss = 0.189, dis_loss = 0.099, gen_acc = 0.922, dis_acc = 0.984
 gen_loss = 0.255, dis_loss = 0.108, gen_acc = 0.922, dis_acc = 0.968
 gen_loss = 0.153, dis_loss = 0.467, gen_acc = 0.906, dis_acc = 0.867
 gen_loss = 0.140, dis_loss = 0.700, gen_acc = 0.938, dis_acc = 0.773
 gen_loss = 0.402, dis_loss = 0.519, gen_acc = 0.875, dis_acc = 0.727
 gen_loss = 0.108, dis_loss = 0.541, gen_acc = 0.969, dis_acc = 0.789
 gen_loss = 0.460, dis_loss = 0.803, gen_acc = 0.797, dis_acc = 0.781
 gen_loss = 0.224, dis_loss = 0.449, gen_acc = 0.875, dis_acc = 0.766
 gen_loss = 0.194, dis_loss = 0.473, gen_acc = 0.922, dis_acc = 0.695
 gen_loss = 0.107, dis_loss = 0.404, gen_acc = 0.953, dis_acc = 0.781
 gen_loss = 0.084, dis_loss = 0.378, gen_acc = 0.984, dis_acc = 0.773
 gen_loss = 0.303, dis_loss = 0.468, gen_acc = 0.891, dis_acc = 0.719
 gen_loss = 0.111, dis_loss = 0.405, gen_acc = 0.969, dis_acc = 0.781
 gen_loss = 0.081, dis_loss = 0.359, gen_acc = 0.984, dis_acc = 0.812
 gen_loss = 0.140, dis_loss = 0.389, gen_acc = 0.938, dis_acc = 0.797
 gen_loss = 0.053, dis_loss = 0.277, gen_acc = 0.984, dis_acc = 0.906
 gen_loss = 0.063, dis_loss = 0.356, gen_acc = 0.969, dis_acc = 0.859
 gen_loss = 0.224, dis_loss = 0.310, gen_acc = 0.906, dis_acc = 0.890
 gen_loss = 0.070, dis_loss = 0.273, gen_acc = 0.969, dis_acc = 0.898
 gen_loss = 0.035, dis_loss = 0.278, gen_acc = 1.000, dis_acc = 0.891
 gen_loss = 0.019, dis_loss = 0.220, gen_acc = 1.000, dis_acc = 0.961
 gen_loss = 0.018, dis_loss = 0.137, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.109, dis_loss = 0.160, gen_acc = 0.969, dis_acc = 0.953
 gen_loss = 0.016, dis_loss = 0.133, gen_acc = 0.984, dis_acc = 0.930
 gen_loss = 0.019, dis_loss = 0.122, gen_acc = 0.984, dis_acc = 0.969
 gen_loss = 0.005, dis_loss = 0.264, gen_acc = 1.000, dis_acc = 0.921
 gen_loss = 0.026, dis_loss = 0.237, gen_acc = 0.984, dis_acc = 0.922
 gen_loss = 0.032, dis_loss = 0.236, gen_acc = 0.984, dis_acc = 0.922
 gen_loss = 0.006, dis_loss = 0.130, gen_acc = 1.000, dis_acc = 0.969
 gen_loss = 0.053, dis_loss = 0.066, gen_acc = 0.969, dis_acc = 0.976
 gen_loss = 0.014, dis_loss = 0.248, gen_acc = 1.000, dis_acc = 0.930
 gen_loss = 0.096, dis_loss = 0.112, gen_acc = 0.969, dis_acc = 0.953
 gen_loss = 0.010, dis_loss = 0.133, gen_acc = 1.000, dis_acc = 0.969
 gen_loss = 0.012, dis_loss = 0.184, gen_acc = 1.000, dis_acc = 0.953
 gen_loss = 0.052, dis_loss = 0.258, gen_acc = 0.984, dis_acc = 0.930
 gen_loss = 0.013, dis_loss = 0.233, gen_acc = 1.000, dis_acc = 0.938
 gen_loss = 0.007, dis_loss = 0.185, gen_acc = 1.000, dis_acc = 0.938
 gen_loss = 0.005, dis_loss = 0.042, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.112, dis_loss = 0.209, gen_acc = 0.969, dis_acc = 0.930
 gen_loss = 0.003, dis_loss = 0.175, gen_acc = 1.000, dis_acc = 0.938
 gen_loss = 0.018, dis_loss = 0.118, gen_acc = 0.984, dis_acc = 0.961
 gen_loss = 0.068, dis_loss = 0.067, gen_acc = 0.984, dis_acc = 0.960
 gen_loss = 0.027, dis_loss = 0.073, gen_acc = 0.984, dis_acc = 0.984
 gen_loss = 0.033, dis_loss = 0.085, gen_acc = 0.984, dis_acc = 0.977
 gen_loss = 0.058, dis_loss = 0.123, gen_acc = 0.984, dis_acc = 0.969
 gen_loss = 0.005, dis_loss = 0.128, gen_acc = 1.000, dis_acc = 0.977
 gen_loss = 0.030, dis_loss = 0.120, gen_acc = 1.000, dis_acc = 0.961
 gen_loss = 0.045, dis_loss = 0.160, gen_acc = 0.984, dis_acc = 0.961
 gen_loss = 0.021, dis_loss = 0.261, gen_acc = 0.984, dis_acc = 0.938
